調查時間,性別,年齡,職業,年收入,拜訪頻率,享用方式, 停留時間,家裡到星巴克的距離,會員卡, 購買項目,花費金額,產品評價,價格平價,活動評價,氣氛評價,店內Wifi 評價,服務評價,會選擇星巴克當工作或朋友聚會的地方嗎?,促銷管道,還會購買嗎?
2019/10/01 12:38:43 PM GMT+8,Female,From 20 to 29,學生,"Less than RM25,000",很少,內用,Between 30 minutes to 1 hour,within 1km,Yes,Coffee,Less than RM20,4,3,5,5,4,4,3,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...)",會
2019/10/01 12:38:54 PM GMT+8,Female,From 20 to 29,學生,"Less than RM25,000",很少,外帶,Below 30 minutes,1km - 3km,Yes,Cold drinks;Pastries,Less than RM20,4,3,4,4,4,5,2,Social Media;In Store displays,會
2019/10/01 12:38:56 PM GMT+8,Male,From 20 to 29,就業人員,"Less than RM25,000",每個月,內用,Between 30 minutes to 1 hour,more than 3km,Yes,Coffee,Less than RM20,4,3,4,4,4,4,3,In Store displays;Billboards,會
2019/10/01 12:39:08 PM GMT+8,Female,From 20 to 29,學生,"Less than RM25,000",很少,外帶,Below 30 minutes,more than 3km,No,Coffee,Less than RM20,2,1,4,3,3,3,3,Through friends and word of mouth,不會
2019/10/01 12:39:20 PM GMT+8,Male,From 20 to 29,學生,"Less than RM25,000",每個月,外帶,Between 30 minutes to 1 hour,1km - 3km,No,Coffee;Sandwiches,Around RM20 - RM40,3,3,4,2,2,3,3,Starbucks Website/Apps;Social Media,會
2019/10/01 12:39:39 PM GMT+8,Female,From 20 to 29,學生,"Less than RM25,000",很少,內用,Between 30 minutes to 1 hour,more than 3km,No,Cold drinks,Less than RM20,4,3,5,5,4,5,4,Social Media,會
2019/10/01 12:39:42 PM GMT+8,Female,From 20 to 29,學生,"Less than RM25,000",很少,內用,Below 30 minutes,within 1km,Yes,Coffee,Around RM20 - RM40,5,5,5,5,3,5,5,Starbucks Website/Apps;Social Media,會
2019/10/01 12:40:58 PM GMT+8,Male,From 20 to 29,就業人員,"RM50,000 - RM100,000",很少,內用,Between 30 minutes to 1 hour,more than 3km,Yes,Coffee;Cold drinks,Less than RM20,4,2,3,3,3,3,3,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,會
2019/10/01 12:42:27 PM GMT+8,Female,From 20 to 29,學生,"Less than RM25,000",很少,得來速,Below 30 minutes,more than 3km,Yes,Cold drinks,More than RM40,5,4,4,4,4,4,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth,會
2019/10/01 12:43:36 PM GMT+8,Male,From 20 to 29,就業人員,"Less than RM25,000",每個月,外帶,Below 30 minutes,more than 3km,No,Coffee,Around RM20 - RM40,4,3,3,4,3,3,4,Social Media;Through friends and word of mouth,會
